ASCII SAMPLE CYCLES :			synecho6803_brd_temp36-31-36_whitel300.mdc
DATE :	26.11.2025	TIME :	11:33:31 odp.
CONVERTED CYCLES :			5261
Number of stored cycles			5261
Printed start cycle			1
Printed end cycle			5261
Number of stored datablocks			2
Datablock 0	Ion Current	[A]	
'0/0'	17.94	min:	9.22911E-010	max:	1.67387E-009	
'0/1'	27.75	min:	4.27391E-008	max:	4.4986E-008	
'0/2'	31.72	min:	1.83275E-008	max:	1.94882E-008	
'0/3'	35.87	min:	8.61726E-008	max:	8.69342E-008	
'0/4'	40.03	min:	3.46578E-008	max:	3.51229E-008	
'0/5'	43.72	min:	1.64506E-009	max:	1.67387E-009	
Datablock 1	PKR	[mbar]	
'1/0'	PKR	min:	1.744E-007	max:	2.362E-007	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	'0/4'	'0/5'	'1/0'	
106	26.11.2025	11:36:23:21 odp.	172.217	1.72758E-007	5.02954E-008	2.2295E-008	7.62622E-008	3.16003E-008	1.77592E-009	2.257E-007	
107	26.11.2025	11:36:24:85 odp.	173.857	1.72783E-007	5.02777E-008	2.22923E-008	7.61205E-008	3.1534E-008	1.78056E-009	2.265E-007	
108	26.11.2025	11:36:26:49 odp.	175.498	1.72526E-007	5.03003E-008	2.2297E-008	7.595E-008	3.15193E-008	1.78764E-009	2.262E-007	
109	26.11.2025	11:36:28:13 odp.	177.139	1.72441E-007	5.03015E-008	2.23048E-008	7.58312E-008	3.1407E-008	1.778E-009	2.246E-007	
110	26.11.2025	11:36:29:77 odp.	178.779	1.72392E-007	5.03491E-008	2.23258E-008	7.5689E-008	3.14363E-008	1.78642E-009	2.241E-007	
111	26.11.2025	11:36:31:41 odp.	180.419	1.72343E-007	5.03202E-008	2.23282E-008	7.5545E-008	3.13203E-008	1.78984E-009	2.27E-007	
112	26.11.2025	11:36:33:05 odp.	182.059	1.72258E-007	5.0304E-008	2.23228E-008	7.54229E-008	3.13229E-008	1.78666E-009	2.246E-007	
113	26.11.2025	11:36:34:70 odp.	183.7	1.72197E-007	5.03772E-008	2.23573E-008	7.53129E-008	3.12569E-008	1.78959E-009	2.249E-007	
114	26.11.2025	11:36:36:34 odp.	185.342	1.72123E-007	5.04818E-008	2.23862E-008	7.52529E-008	3.12105E-008	1.77189E-009	2.262E-007	
115	26.11.2025	11:36:37:98 odp.	186.98	1.7194E-007	5.04627E-008	2.23741E-008	7.51169E-008	3.11922E-008	1.79069E-009	2.262E-007	
116	26.11.2025	11:36:39:61 odp.	188.619	1.71965E-007	5.04395E-008	2.23975E-008	7.49885E-008	3.11311E-008	1.78456E-009	2.235E-007	
117	26.11.2025	11:36:41:26 odp.	190.26	1.71977E-007	5.04199E-008	2.23656E-008	7.47559E-008	3.09932E-008	1.78764E-009	2.246E-007	
118	26.11.2025	11:36:42:89 odp.	191.899	1.71891E-007	5.03906E-008	2.23704E-008	7.44846E-008	3.09737E-008	1.79033E-009	2.235E-007	
119	26.11.2025	11:36:44:54 odp.	193.542	1.7183E-007	5.02869E-008	2.23411E-008	7.42745E-008	3.08574E-008	1.78312E-009	2.238E-007	
120	26.11.2025	11:36:46:18 odp.	195.182	1.7172E-007	5.02942E-008	2.23199E-008	7.41118E-008	3.0791E-008	1.80095E-009	2.238E-007	
