Sourcefile	20130524 151844 Tomas CO2+ethylene_faraday.qmp													
Exporttime	24.5.2013 17:40:45													
														
Start Time	24.5.2013 15:18:55,606													
End Time  	24.5.2013 17:40:45,656													
														
		14			26			32			40			44
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]
24.5.2013 15:23:03	247,649	1,672713E-011	24.5.2013 15:23:03	248,188	8,003809E-013	24.5.2013 15:23:04	248,725	1,599555E-010	24.5.2013 15:23:04	249,264	1,469296E-011	24.5.2013 15:23:05	249,8	6,003012E-012
24.5.2013 15:23:05	250,338	1,673864E-011	24.5.2013 15:23:06	250,875	8,542683E-013	24.5.2013 15:23:07	251,412	1,581294E-010	24.5.2013 15:23:07	251,949	1,45677E-011	24.5.2013 15:23:08	252,487	6,162883E-012
24.5.2013 15:23:08	253,023	1,682825E-011	24.5.2013 15:23:09	253,56	1,112004E-012	24.5.2013 15:23:09	254,097	1,519097E-010	24.5.2013 15:23:10	254,634	1,402997E-011	24.5.2013 15:23:10	255,17	6,366479E-012
24.5.2013 15:23:11	255,708	1,713055E-011	24.5.2013 15:23:11	256,244	1,83166E-012	24.5.2013 15:23:12	256,78	1,417241E-010	24.5.2013 15:23:12	257,319	1,313814E-011	24.5.2013 15:23:13	257,856	6,489094E-012
24.5.2013 15:23:13	258,392	1,747705E-011	24.5.2013 15:23:14	258,929	2,93187E-012	24.5.2013 15:23:15	259,465	1,270908E-010	24.5.2013 15:23:15	260,001	1,199173E-011	24.5.2013 15:23:16	260,537	6,448203E-012
24.5.2013 15:23:16	261,072	1,806589E-011	24.5.2013 15:23:17	261,607	4,443584E-012	24.5.2013 15:23:17	262,144	1,111586E-010	24.5.2013 15:23:18	262,681	1,065853E-011	24.5.2013 15:23:18	263,217	6,221271E-012
24.5.2013 15:23:19	263,757	1,866969E-011	24.5.2013 15:23:19	264,298	6,284171E-012	24.5.2013 15:23:20	264,838	9,43923E-011	24.5.2013 15:23:20	265,377	9,253725E-012	24.5.2013 15:23:21	265,917	5,851951E-012
24.5.2013 15:23:22	266,456	1,923962E-011	24.5.2013 15:23:22	266,997	8,305472E-012	24.5.2013 15:23:23	267,535	7,838639E-011	24.5.2013 15:23:23	268,088	7,754249E-012	24.5.2013 15:23:24	268,627	5,386734E-012
24.5.2013 15:23:24	269,166	1,970859E-011	24.5.2013 15:23:25	269,744	1,051678E-011	24.5.2013 15:23:25	270,283	6,437877E-011	24.5.2013 15:23:26	270,822	6,567435E-012	24.5.2013 15:23:26	271,363	4,9079E-012
24.5.2013 15:23:27	271,904	2,027891E-011	24.5.2013 15:23:28	272,443	1,244949E-011	24.5.2013 15:23:28	272,982	5,249974E-011	24.5.2013 15:23:29	273,52	5,519789E-012	24.5.2013 15:23:29	274,06	4,436368E-012
24.5.2013 15:23:30	274,598	2,069368E-011	24.5.2013 15:23:30	275,138	1,422849E-011	24.5.2013 15:23:31	275,676	4,199319E-011	24.5.2013 15:23:31	276,217	4,587084E-012	24.5.2013 15:23:32	276,756	4,011296E-012
